InternshipID,Company,RoleTitle,Skills,Sector,City,State,Paid,Stipend_INR,Duration_months,PostingDate,Source
PMIS-100145,BPCL,Market Research Intern,"Market Research, Marketing, Excel",FMCG,Thiruvananthapuram,Kerala,Yes,5000,12,2024-10-13,PMIS_portal_inferred/synthesized
PMIS-100146,HCL Technologies,Legal Research Intern,"Compliance, Legal Research, Drafting",Legal & Compliance,Ahmedabad,Gujarat,Yes,5000,12,2025-08-29,PMIS_portal_inferred/synthesized
PMIS-100147,Bajaj Finserv,Industrial Engineering Intern,"LEAN, Automation, Quality Control",Manufacturing,Thiruvananthapuram,Kerala,Yes,5000,12,2024-11-29,PMIS_portal_inferred/synthesized
PMIS-100148,L&T Technology Services,Process Engineering Intern,"Process Design, MATLAB, Chemical Engineering",Energy & Oil & Gas,Indore,Madhya Pradesh,Yes,5000,12,2025-05-03,PMIS_portal_inferred/synthesized
PMIS-100149,JSW Steel,Clinical Data Intern,"Research, Lab Techniques, Data Analysis",Healthcare & Pharma,Noida,Uttar Pradesh,Yes,5000,12,2024-10-17,PMIS_portal_inferred/synthesized
PMIS-100150,PepsiCo India,HR Intern,"Interviewing, MS Office, Communication",HR & Admin,Lucknow,Uttar Pradesh,Yes,5000,12,2024-11-20,PMIS_portal_inferred/synthesized
PMIS-100151,Nestle India,Recruitment Intern,"Communication, MS Office, Recruitment",HR & Admin,Pune,Maharashtra,Yes,5000,12,2024-12-02,PMIS_portal_inferred/synthesized
PMIS-100152,Flipkart,Finance Intern,"Financial Modelling, Excel, Risk Analysis",Banking & Finance,Jaipur,Rajasthan,Yes,5000,12,2025-02-02,PMIS_portal_inferred/synthesized
PMIS-100153,Infosys,Network Engineering Intern,"Python, Linux, Network Basics",Telecom,Gurgaon,Haryana,Yes,5000,12,2025-03-18,PMIS_portal_inferred/synthesized
PMIS-100154,GAIL India,R&D Intern,"Data Analysis, Research, R",Healthcare & Pharma,Indore,Madhya Pradesh,Yes,5000,12,2025-02-06,PMIS_portal_inferred/synthesized
PMIS-100155,Muthoot Finance,Industrial Engineering Intern,"Quality Control, LEAN, Automation",Manufacturing,Gurgaon,Haryana,Yes,5000,12,2025-07-29,PMIS_portal_inferred/synthesized
PMIS-100156,ICICI Bank,Backend Developer Intern,"Data Structures, Python, SQL",IT & Software,Chandigarh,Punjab,Yes,5000,12,2025-06-27,PMIS_portal_inferred/synthesized
PMIS-100157,Tata Motors,Credit Analysis Intern,"Risk Analysis, SQL, Python",Banking & Finance,Surat,Gujarat,Yes,5000,12,2024-11-25,PMIS_portal_inferred/synthesized
PMIS-100158,Biocon,Process Engineering Intern,"MATLAB, Process Design, Chemical Engineering",Energy & Oil & Gas,Nagpur,Maharashtra,Yes,5000,12,2024-10-16,PMIS_portal_inferred/synthesized
PMIS-100159,Larsen & Toubro,Associate Product Intern,"Analytics, Stakeholder Communication, Roadmapping",Product Management,Thiruvananthapuram,Kerala,Yes,5000,12,2025-09-30,PMIS_portal_inferred/synthesized
PMIS-100160,Biocon,Risk Analyst Intern,"SQL, Financial Modelling, Excel",Banking & Finance,Chennai,Tamil Nadu,Yes,5000,12,2025-02-18,PMIS_portal_inferred/synthesized
PMIS-100161,HCL Technologies,Compliance Intern,"Compliance, Drafting, Legal Research",Legal & Compliance,Kochi,Kerala,Yes,5000,12,2025-08-06,PMIS_portal_inferred/synthesized
PMIS-100162,Sun Pharma,Industrial Engineering Intern,"Quality Control, Automation, PLC",Manufacturing,Gurgaon,Haryana,Yes,5000,12,2025-04-30,PMIS_portal_inferred/synthesized
PMIS-100163,Kotak Mahindra Bank,Product Design Intern,"User Research, Sketch, Figma",Design & UX,Jaipur,Rajasthan,Yes,5000,12,2025-05-07,PMIS_portal_inferred/synthesized
PMIS-100164,ICICI Bank,Market Research Intern,"Brand Management, Market Research, Excel",FMCG,Bengaluru,Karnataka,Yes,5000,12,2024-11-16,PMIS_portal_inferred/synthesized
PMIS-100165,Mahindra & Mahindra,Credit Analysis Intern,"Excel, SQL, Python",Banking & Finance,Indore,Madhya Pradesh,Yes,5000,12,2024-10-31,PMIS_portal_inferred/synthesized
PMIS-100166,JSW Steel,Legal Research Intern,"Drafting, Compliance, Legal Research",Legal & Compliance,Delhi,Delhi,Yes,5000,12,2025-02-25,PMIS_portal_inferred/synthesized
PMIS-100167,Hero MotoCorp,Supply Chain Intern,"Operations, Route Optimization, SQL",Logistics & Travel,Chennai,Tamil Nadu,Yes,5000,12,2025-09-02,PMIS_portal_inferred/synthesized
PMIS-100168,Amazon India,Process Engineering Intern,"Process Design, MATLAB, Chemical Engineering",Energy & Oil & Gas,Noida,Uttar Pradesh,Yes,5000,12,2025-07-21,PMIS_portal_inferred/synthesized
PMIS-100169,Bharti Airtel,Data Science Intern,"Data Visualization, scikit-learn, Python",Data Science & Analytics,Kolkata,West Bengal,Yes,5000,12,2025-02-17,PMIS_portal_inferred/synthesized
PMIS-100170,PepsiCo India,Supply Chain Intern,"Route Optimization, Operations, SQL",Logistics & Travel,Chennai,Tamil Nadu,Yes,5000,12,2025-07-17,PMIS_portal_inferred/synthesized
PMIS-100171,Cipla,Content Marketing Intern,"SEO, Social Media, Content Writing",Marketing & Communications,Bengaluru,Karnataka,Yes,5000,12,2025-06-29,PMIS_portal_inferred/synthesized
PMIS-100172,Reliance Retail,Social Media Intern,"Google Analytics, SEO, Content Writing",Marketing & Communications,Lucknow,Uttar Pradesh,Yes,5000,12,2025-03-09,PMIS_portal_inferred/synthesized
PMIS-100173,ONGC,Legal Research Intern,"Legal Research, Compliance, Drafting",Legal & Compliance,Vadodara,Gujarat,Yes,5000,12,2024-10-26,PMIS_portal_inferred/synthesized
PMIS-100174,Nestle India,Credit Analysis Intern,"Risk Analysis, Python, Financial Modelling",Banking & Finance,Vadodara,Gujarat,Yes,5000,12,2025-05-15,PMIS_portal_inferred/synthesized
PMIS-100175,Bajaj Finserv,Brand Marketing Intern,"Marketing, Brand Management, Market Research",FMCG,Hyderabad,Telangana,Yes,5000,12,2025-02-23,PMIS_portal_inferred/synthesized
PMIS-100176,Nestle India,Associate Product Intern,"Roadmapping, Analytics, JIRA",Product Management,Vadodara,Gujarat,Yes,5000,12,2024-10-29,PMIS_portal_inferred/synthesized
PMIS-100177,Tata Consultancy Services,RF Engineering Intern,"Python, Network Basics, Signal Processing",Telecom,Ahmedabad,Gujarat,Yes,5000,12,2025-03-17,PMIS_portal_inferred/synthesized
PMIS-100178,Tata Motors,DevOps Intern,"REST APIs, Algorithms, SQL",IT & Software,Chennai,Tamil Nadu,Yes,5000,12,2025-04-13,PMIS_portal_inferred/synthesized
PMIS-100179,Paytm,HSE Intern,"Chemical Engineering, Process Design, MATLAB",Energy & Oil & Gas,Chandigarh,Punjab,Yes,5000,12,2024-10-10,PMIS_portal_inferred/synthesized
PMIS-100180,Flipkart,Credit Analysis Intern,"Python, Risk Analysis, SQL",Banking & Finance,Bhopal,Madhya Pradesh,Yes,5000,12,2025-09-29,PMIS_portal_inferred/synthesized
